record_id,production_date,plant,production_line,machine_id,shift,product_code,produced_quantity,good_quantity,scrap_quantity,downtime_minutes,planned_minutes,cycle_time_seconds
PR-2026-000026,2026-01-03,Plant-01,Line-A,MC-101,Evening,PRD-A100,4875,4722,153,30,480,4.97
PR-2026-000027,2026-01-03,Plant-01,Line-A,MC-101,Night,PRD-A100,4697,4585,112,53,480,4.94
PR-2026-000028,2026-01-03,Plant-01,Line-A,MC-102,Day,PRD-B200,3969,3918,51,25,480,6.06
PR-2026-000029,2026-01-03,Plant-01,Line-A,MC-102,Evening,PRD-B200,3952,3915,37,64,480,5.96
PR-2026-000030,2026-01-03,Plant-01,Line-A,MC-102,Night,PRD-B200,3554,3504,50,60,480,6.41
PR-2026-000031,2026-01-03,Plant-01,Line-B,MC-201,Day,PRD-C300,6566,6440,126,44,480,3.67
PR-2026-000032,2026-01-03,Plant-01,Line-B,MC-201,Evening,PRD-C300,7224,7178,46,18,480,3.49
PR-2026-000033,2026-01-03,Plant-01,Line-B,MC-201,Night,PRD-C300,6754,6502,252,43,480,3.55
PR-2026-000034,2026-01-03,Plant-01,Line-B,MC-202,Day,PRD-D400,2849,2755,94,21,480,8.39
PR-2026-000035,2026-01-03,Plant-01,Line-B,MC-202,Evening,PRD-D400,2791,2688,103,36,480,8.19
PR-2026-000036,2026-01-03,Plant-01,Line-B,MC-202,Night,PRD-D400,3080,3063,17,58,480,7.86
PR-2026-000037,2026-01-04,Plant-01,Line-A,MC-101,Day,PRD-A100,4689,4669,20,35,480,5.02
PR-2026-000038,2026-01-04,Plant-01,Line-A,MC-101,Evening,PRD-A100,5638,5438,200,2,480,4.66
PR-2026-000039,2026-01-04,Plant-01,Line-A,MC-101,Night,PRD-A100,5122,5020,102,36,480,4.78
PR-2026-000040,2026-01-04,Plant-01,Line-A,MC-102,Day,PRD-B200,3730,3646,84,3,480,6.48
PR-2026-000041,2026-01-04,Plant-01,Line-A,MC-102,Evening,PRD-B200,3714,3579,135,48,480,6.15
PR-2026-000042,2026-01-04,Plant-01,Line-A,MC-102,Night,PRD-B200,4146,4013,133,45,480,6.07
PR-2026-000043,2026-01-04,Plant-01,Line-B,MC-201,Day,PRD-C300,6366,6292,74,48,480,3.46
PR-2026-000044,2026-01-04,Plant-01,Line-B,MC-201,Evening,PRD-C300,7014,6748,266,2,480,3.47
PR-2026-000045,2026-01-04,Plant-01,Line-B,MC-201,Night,PRD-C300,6875,6619,256,25,480,3.46
PR-2026-000046,2026-01-04,Plant-01,Line-B,MC-202,Day,PRD-D400,3191,3092,99,19,480,7.85
PR-2026-000047,2026-01-04,Plant-01,Line-B,MC-202,Evening,PRD-D400,3088,3065,23,39,480,8.06
PR-2026-000048,2026-01-04,Plant-01,Line-B,MC-202,Night,PRD-D400,3186,3142,44,15,480,8.02
PR-2026-000049,2026-01-05,Plant-01,Line-A,MC-101,Day,PRD-A100,5599,5564,35,5,480,4.73
PR-2026-000050,2026-01-05,Plant-01,Line-A,MC-101,Evening,PRD-A100,5080,5035,45,42,480,4.78
PR-2026-000051,2026-01-05,Plant-01,Line-A,MC-101,Night,PRD-A100,5166,5001,165,46,480,4.65
PR-2026-000052,2026-01-05,Plant-01,Line-A,MC-102,Day,PRD-B200,3525,3478,47,58,480,6.49
PR-2026-000053,2026-01-05,Plant-01,Line-A,MC-102,Evening,PRD-B200,3359,3246,113,58,480,6.5
PR-2026-000054,2026-01-05,Plant-01,Line-A,MC-102,Night,PRD-B200,3722,3706,16,56,480,6.37
PR-2026-000055,2026-01-05,Plant-01,Line-B,MC-201,Day,PRD-C300,6586,6457,129,24,480,3.67
PR-2026-000056,2026-01-05,Plant-01,Line-B,MC-201,Evening,PRD-C300,6466,6353,113,54,480,3.48
PR-2026-000057,2026-01-05,Plant-01,Line-B,MC-201,Night,PRD-C300,6540,6401,139,60,480,3.57
PR-2026-000058,2026-01-05,Plant-01,Line-B,MC-202,Day,PRD-D400,3096,3057,39,22,480,7.79
PR-2026-000059,2026-01-05,Plant-01,Line-B,MC-202,Evening,PRD-D400,2984,2964,20,27,480,7.93
PR-2026-000060,2026-01-05,Plant-01,Line-B,MC-202,Night,PRD-D400,2876,2826,50,48,480,7.87
PR-2026-000061,2026-01-06,Plant-01,Line-A,MC-101,Day,PRD-A100,5683,5554,129,0,480,4.7
PR-2026-000062,2026-01-06,Plant-01,Line-A,MC-101,Evening,PRD-A100,5285,5118,167,19,480,4.93
PR-2026-000063,2026-01-06,Plant-01,Line-A,MC-101,Night,PRD-A100,5852,5683,169,0,480,4.73
PR-2026-000064,2026-01-06,Plant-01,Line-A,MC-102,Day,PRD-B200,3907,3821,86,28,480,6.3
PR-2026-000065,2026-01-06,Plant-01,Line-A,MC-102,Evening,PRD-B200,3550,3431,119,40,480,6.48
PR-2026-000066,2026-01-06,Plant-01,Line-A,MC-102,Night,PRD-B200,4174,4099,75,9,480,6.13
PR-2026-000067,2026-01-06,Plant-01,Line-B,MC-201,Day,PRD-C300,7576,7391,185,24,480,3.49
PR-2026-000068,2026-01-06,Plant-01,Line-B,MC-201,Evening,PRD-C300,6543,6439,104,37,480,3.7
PR-2026-000069,2026-01-06,Plant-01,Line-B,MC-201,Night,PRD-C300,7047,6854,193,36,480,3.52
PR-2026-000070,2026-01-06,Plant-01,Line-B,MC-202,Day,PRD-D400,3156,3130,26,41,480,7.85
PR-2026-000071,2026-01-06,Plant-01,Line-B,MC-202,Evening,PRD-D400,2831,2766,65,45,480,8.31
PR-2026-000072,2026-01-06,Plant-01,Line-B,MC-202,Night,PRD-D400,2980,2870,110,2,480,8.23
PR-2026-000072,2026-01-07,Plant-01,Line-A,MC-101,Day,PRD-A100,5051,4871,180,35,480,4.86
PR-2026-000074,2026-01-07,Plant-01,Line-A,MC-101,Evening,PRD-A100,5559,5349,210,2,480,4.99
PR-2026-000075,2026-01-07,Plant-01,Line-A,MC-101,Night,PRD-A100,5359,5218,141,45,480,4.69
PR-2026-000076,2026-01-07,Plant-01,Line-A,MC-102,Day,PRD-B200,3590,3452,138,46,480,6.33
PR-2026-000077,2026-01-07,Plant-01,Line-A,MC-102,Evening,PRD-B200,4422,4401,21,5,480,6.14
PR-2026-000078,2026-01-07,Plant-01,Line-A,MC-102,Night,PRD-B200,3636,3525,111,39,480,6.19
PR-2026-000079,2026-01-07,Plant-01,Line-B,MC-201,Day,PRD-C300,7012,6809,203,42,480,3.42
PR-2026-000080,2026-01-07,Plant-01,Line-B,MC-201,Evening,PRD-C300,6882,6735,147,33,480,3.49
PR-2026-000081,2026-01-07,Plant-01,Line-B,MC-201,Night,PRD-C300,6948,6810,138,17,480,3.61
PR-2026-000082,2026-01-07,Plant-01,Line-B,MC-202,Day,PRD-D400,3391,3342,49,1,480,7.9
PR-2026-000083,2026-01-07,Plant-01,Line-B,MC-202,Evening,PRD-D400,3448,3319,129,8,480,7.82
PR-2026-000084,2026-01-07,Plant-01,Line-B,MC-202,Night,PRD-D400,2965,2943,22,22,480,8.41
PR-2026-000085,2026-01-08,Plant-01,Line-A,MC-101,Day,PRD-A100,5263,5179,84,24,480,4.78
PR-2026-000086,2026-01-08,Plant-01,Line-A,MC-101,Evening,PRD-A100,4662,4544,118,42,480,4.98
PR-2026-000087,2026-01-08,Plant-01,Line-A,MC-101,Night,PRD-A100,5301,5185,116,7,480,4.76
PR-2026-000088,2026-01-08,Plant-01,Line-A,MC-102,Day,PRD-B200,4147,4003,144,12,480,6.52
PR-2026-000089,2026-01-08,Plant-01,Line-A,MC-102,Evening,PRD-B200,3961,3939,22,28,480,6.06
PR-2026-000090,2026-01-08,Plant-01,Line-A,MC-102,Night,PRD-B200,3730,3614,116,58,480,6.47
PR-2026-000091,2026-01-08,Plant-01,Line-B,MC-201,Day,PRD-C300,7390,7157,233,1,480,3.49
PR-2026-000092,2026-01-08,Plant-01,Line-B,MC-201,Evening,PRD-C300,6818,6578,240,21,480,3.69
PR-2026-000093,2026-01-08,Plant-01,Line-B,MC-201,Night,PRD-C300,6973,6734,239,31,480,3.68
PR-2026-000094,2026-01-08,Plant-01,Line-B,MC-202,Day,PRD-D400,2850,2780,70,35,480,8.38
PR-2026-000095,2026-01-08,Plant-01,Line-B,MC-202,Evening,PRD-D400,3199,3078,121,2,480,7.96
PR-2026-000096,2026-01-08,Plant-01,Line-B,MC-202,Night,PRD-D400,3207,3088,119,32,480,8.01
PR-2026-000097,2026-01-09,Plant-01,Line-A,MC-101,Day,PRD-A100,4526,4426,100,45,480,4.95
PR-2026-000098,2026-01-09,Plant-01,Line-A,MC-101,Evening,PRD-A100,4833,4776,57,44,480,4.62
PR-2026-000099,2026-01-09,Plant-01,Line-A,MC-101,Night,PRD-A100,5351,5174,177,3,480,4.85
PR-2026-000100,2026-01-09,Plant-01,Line-A,MC-102,Day,PRD-B200,4019,3919,100,43,480,6.08
PR-2026-000101,2026-01-09,Plant-01,Line-A,MC-102,Evening,PRD-B200,3830,3682,148,7,480,6.57
PR-2026-000102,2026-01-09,Plant-01,Line-A,MC-102,Night,PRD-B200,4020,3922,98,4,480,6.32
PR-2026-000103,2026-01-09,Plant-01,Line-B,MC-201,Day,PRD-C300,6824,6756,68,29,480,3.57
PR-2026-000104,2026-01-09,Plant-01,Line-B,MC-201,Evening,PRD-C300,6262,6051,211,58,480,3.57
PR-2026-000105,2026-01-09,Plant-01,Line-B,MC-201,Night,PRD-C300,6490,6319,171,37,480,3.58
PR-2026-000106,2026-01-09,Plant-01,Line-B,MC-202,Day,PRD-D400,3215,3120,95,22,480,8.04
PR-2026-000107,2026-01-09,Plant-01,Line-B,MC-202,Evening,PRD-D400,3324,3294,30,35,480,7.76
PR-2026-000108,2026-01-09,Plant-01,Line-B,MC-202,Night,PRD-D400,2807,2722,85,24,480,8.36
PR-2026-000109,2026-01-10,Plant-01,Line-A,MC-101,Day,PRD-A100,4767,4637,130,54,480,4.86
PR-2026-000110,2026-01-10,Plant-01,Line-A,MC-101,Evening,PRD-A100,4839,4768,71,22,480,5.05
PR-2026-000111,2026-01-10,Plant-01,Line-A,MC-101,Night,PRD-A100,4840,4748,92,58,480,4.96
PR-2026-000112,2026-01-10,Plant-01,Line-A,MC-102,Day,PRD-B200,3832,3696,136,62,480,6.02
PR-2026-000113,2026-01-10,Plant-01,Line-A,MC-102,Evening,PRD-B200,3992,3945,47,15,480,5.98
PR-2026-000114,2026-01-10,Plant-01,Line-A,MC-102,Night,PRD-B200,3736,3641,95,56,480,6.07
PR-2026-000115,2026-01-10,Plant-01,Line-B,MC-201,Day,PRD-C300,6297,6094,203,48,480,3.61
PR-2026-000116,2026-01-10,Plant-01,Line-B,MC-201,Evening,PRD-C300,6711,6605,106,50,480,3.43
PR-2026-000117,2026-01-10,Plant-01,Line-B,MC-201,Night,PRD-C300,6922,6815,107,49,480,3.48
PR-2026-000118,2026-01-10,Plant-01,Line-B,MC-202,Day,PRD-D400,3132,3106,26,18,480,8.42
PR-2026-000119,2026-01-10,Plant-01,Line-B,MC-202,Evening,PRD-D400,2749,2735,14,24,480,8.4
PR-2026-000120,2026-01-10,Plant-01,Line-B,MC-202,Night,PRD-D400,3323,3268,55,19,480,7.89
PR-2026-000121,2026-01-11,Plant-01,Line-A,MC-101,Day,PRD-A100,4867,4843,24,29,480,5.02
PR-2026-000122,2026-01-11,Plant-01,Line-A,MC-101,Evening,PRD-A100,4659,4482,177,60,480,4.99
PR-2026-000123,2026-01-11,Plant-01,Line-A,MC-101,Night,PRD-A100,5213,5119,94,23,480,4.78
PR-2026-000124,2026-01-11,Plant-01,Line-A,MC-102,Day,PRD-B200,3978,3952,26,37,480,6.35
PR-2026-000125,2026-01-11,Plant-01,Line-A,MC-102,Evening,PRD-B200,4243,4113,130,4,480,6.33
PR-2026-000126,2026-01-11,Plant-01,Line-A,MC-102,Night,PRD-B200,3576,3443,133,39,480,6.4
PR-2026-000127,2026-01-11,Plant-01,Line-B,MC-201,Day,PRD-C300,7458,7249,209,11,480,3.36
PR-2026-000128,2026-01-11,Plant-01,Line-B,MC-201,Evening,PRD-C300,6499,6473,26,31,480,3.53
PR-2026-000129,2026-01-11,Plant-01,Line-B,MC-201,Night,PRD-C300,6045,6013,32,56,480,3.65
PR-2026-000130,2026-01-11,Plant-01,Line-B,MC-202,Day,PRD-D400,3421,3307,114,6,480,7.97
PR-2026-000131,2026-01-11,Plant-01,Line-B,MC-202,Evening,PRD-D400,2993,2896,97,18,480,7.83
PR-2026-000132,2026-01-11,Plant-01,Line-B,MC-202,Night,PRD-D400,2793,2765,28,57,480,8.34
PR-2026-000133,2026-01-12,Plant-01,Line-A,MC-101,Day,PRD-A100,4698,4532,166,61,480,4.86
PR-2026-000134,2026-01-12,Plant-01,Line-A,MC-101,Evening,PRD-A100,4952,4785,167,0,480,5.01
PR-2026-000135,2026-01-12,Plant-01,Line-A,MC-101,Night,PRD-A100,5308,5237,71,11,480,4.92
PR-2026-000136,2026-01-12,Plant-01,Line-A,MC-102,Day,PRD-B200,3615,3555,60,60,480,6
PR-2026-000137,2026-01-12,Plant-01,Line-A,MC-102,Evening,PRD-B200,3794,3656,138,39,480,6.02
PR-2026-000138,2026-01-12,Plant-01,Line-A,MC-102,Night,PRD-B200,3728,3645,83,7,480,6.46
PR-2026-000139,2026-01-12,Plant-01,Line-B,MC-201,Day,PRD-C300,6330,6225,105,42,480,3.68
PR-2026-000140,2026-01-12,Plant-01,Line-B,MC-201,Evening,PRD-C300,7304,7086,218,52,480,3.37
PR-2026-000141,2026-01-12,Plant-01,Line-B,MC-201,Night,PRD-C300,6852,6792,60,19,480,3.59
PR-2026-000142,2026-01-12,Plant-01,Line-B,MC-202,Day,PRD-D400,3068,2963,105,61,480,7.69
PR-2026-000143,2026-01-12,Plant-01,Line-B,MC-202,Evening,PRD-D400,3153,3072,81,49,480,7.77
PR-2026-000144,2026-01-12,Plant-01,Line-B,MC-202,Night,PRD-D400,2850,2830,20,61,480,8.31
PR-2026-000145,2026-01-13,Plant-01,Line-A,MC-101,Day,PRD-A100,5305,5143,162,14,480,4.78
PR-2026-000146,2026-01-13,Plant-01,Line-A,MC-101,Evening,PRD-A100,5247,5129,118,17,480,4.75
PR-2026-000147,2026-01-13,Plant-01,Line-A,MC-101,Night,PRD-A100,4834,4664,170,48,480,5.01
PR-2026-000148,2026-01-13,Plant-01,Line-A,MC-102,Day,PRD-B200,3802,3706,96,6,480,6.55
PR-2026-000149,2026-01-13,Plant-01,Line-A,,Evening,PRD-B200,4089,4059,30,14,480,6.41
PR-2026-000150,2026-01-13,Plant-01,Line-A,MC-102,Night,PRD-B200,4197,4061,136,4,480,6.5
PR-2026-000151,2026-01-13,Plant-01,Line-B,MC-201,Day,PRD-C300,7690,7433,257,26,480,3.41
PR-2026-000152,2026-01-13,Plant-01,Line-B,MC-201,Evening,PRD-C300,6792,6671,121,39,480,3.41
PR-2026-000153,2026-01-13,Plant-01,Line-B,MC-201,Night,PRD-C300,6851,6738,113,54,480,3.55
PR-2026-000154,2026-01-13,Plant-01,Line-B,MC-202,Day,PRD-D400,2603,2554,49,56,480,8.33
PR-2026-000155,2026-01-13,Plant-01,Line-B,MC-202,Evening,PRD-D400,2825,2745,80,59,480,8.19
PR-2026-000156,2026-01-13,Plant-01,Line-B,MC-202,Night,PRD-D400,2908,2828,80,32,480,7.77
PR-2026-000157,2026-01-14,Plant-01,Line-A,MC-101,Day,PRD-A100,5625,5484,141,3,480,4.7
PR-2026-000158,2026-01-14,Plant-01,Line-A,MC-101,Evening,PRD-A100,5032,4888,144,15,480,4.77
PR-2026-000159,2026-01-14,Plant-01,Line-A,MC-101,Night,PRD-A100,5083,4928,155,39,480,4.96
PR-2026-000160,2026-01-14,Plant-01,Line-A,MC-102,Day,PRD-B200,4334,4206,128,28,480,6.02
PR-2026-000161,2026-01-14,Plant-01,Line-A,MC-102,Evening,PRD-B200,3762,3688,74,22,480,6.14
PR-2026-000162,2026-01-14,Plant-01,Line-A,MC-102,Night,PRD-B200,3580,3532,48,59,480,6.32
PR-2026-000163,2026-01-14,Plant-01,Line-B,MC-201,Day,PRD-C300,6625,6484,141,33,480,3.61
PR-2026-000164,2026-01-14,Plant-01,Line-B,MC-201,Evening,PRD-C300,7066,7001,65,37,480,3.53
PR-2026-000165,2026-01-14,Plant-01,Line-B,MC-201,Night,PRD-C300,6730,6563,167,9,480,3.63
PR-2026-000166,2026-01-14,Plant-01,Line-B,MC-202,Day,PRD-D400,3058,3012,46,16,480,8.43
PR-2026-000167,2026-01-14,Plant-01,Line-B,MC-202,Evening,PRD-D400,2694,2607,87,56,480,8.34
PR-2026-000168,2026-01-14,Plant-01,Line-B,MC-202,Night,PRD-D400,2861,2832,29,42,480,8.06
PR-2026-000169,2026-01-15,Plant-01,Line-A,MC-101,Day,PRD-A100,5433,5230,203,22,480,4.84
PR-2026-000170,2026-01-15,Plant-01,Line-A,MC-101,Evening,PRD-A100,5504,5476,28,12,480,4.93
PR-2026-000171,2026-01-15,Plant-01,Line-A,MC-101,Night,PRD-A100,5267,5112,155,21,480,5.04
PR-2026-000172,2026-01-15,Plant-01,Line-A,MC-102,Day,PRD-B200,3734,3648,86,49,480,6.13
PR-2026-000173,2026-01-15,Plant-01,Line-A,MC-102,Evening,PRD-B200,4122,4046,76,26,480,6.17
PR-2026-000174,2026-01-15,Plant-01,Line-A,MC-102,Night,PRD-B200,3516,3393,123,56,480,6.38
PR-2026-000175,2026-01-15,Plant-01,Line-B,MC-201,Day,PRD-C300,6598,6514,84,44,480,3.59
PR-2026-000176,2026-01-15,Plant-01,Line-B,MC-201,Evening,PRD-C300,6844,6729,115,47,480,3.37
PR-2026-000177,2026-01-15,Plant-01,Line-B,MC-201,Night,PRD-C300,6545,6397,148,22,480,3.56
PR-2026-000178,2026-01-15,Plant-01,Line-B,MC-202,Day,PRD-D400,2868,2830,38,40,480,7.97
PR-2026-000179,2026-01-15,Plant-01,Line-B,MC-202,Evening,PRD-D400,2971,2958,13,63,480,8.09
PR-2026-000180,2026-01-15,Plant-01,Line-B,MC-202,Night,PRD-D400,2906,2803,103,27,480,8.43
PR-2026-000181,2026-01-16,Plant-01,Line-A,MC-101,Day,PRD-A100,4837,4747,90,64,480,4.82
PR-2026-000182,2026-01-16,Plant-01,Line-A,MC-101,Evening,PRD-A100,4844,4757,87,3,480,4.97
PR-2026-000183,2026-01-16,Plant-01,Line-A,MC-101,Night,PRD-A100,4608,4454,154,35,480,4.96
PR-2026-000184,2026-01-16,Plant-01,Line-A,MC-102,Day,PRD-B200,3853,3790,63,33,480,6.47
PR-2026-000185,2026-01-16,Plant-01,Line-A,MC-102,Evening,PRD-B200,3923,3895,28,54,480,5.99
PR-2026-000186,2026-01-16,Plant-01,Line-A,MC-102,Night,PRD-B200,4044,3926,118,13,480,5.96
PR-2026-000187,2026-01-16,Plant-01,Line-B,MC-201,Day,PRD-C300,6127,6043,84,53,480,3.52
PR-2026-000188,2026-01-16,Plant-01,Line-B,MC-201,Evening,PRD-C300,6987,6879,108,4,480,3.53
PR-2026-000189,2026-01-16,Plant-01,Line-B,MC-201,Night,PRD-C300,7274,7243,31,27,480,3.51
PR-2026-000190,2026-01-16,Plant-01,Line-B,MC-202,Day,PRD-D400,3107,3081,26,8,480,7.81
PR-2026-000191,2026-01-16,Plant-01,Line-B,MC-202,Evening,PRD-D400,3299,3267,32,11,480,8.05
PR-2026-000192,2026-01-16,Plant-01,Line-B,MC-202,Night,PRD-D400,2876,2771,105,31,480,8.39
PR-2026-000193,2026-01-17,Plant-01,Line-A,MC-101,Day,PRD-A100,4879,4804,75,62,480,4.78
PR-2026-000194,2026-01-17,Plant-01,Line-A,MC-101,Evening,PRD-A100,4786,4649,137,9,480,4.97
PR-2026-000195,2026-01-17,Plant-01,Line-A,MC-101,Night,PRD-A100,5533,5416,117,8,480,4.66
PR-2026-000196,2026-01-17,Plant-01,Line-A,MC-102,Day,PRD-B200,4212,4180,32,20,480,6.01
PR-2026-000197,2026-01-17,Plant-01,Line-A,MC-102,Evening,PRD-B200,4003,3883,120,27,480,6.26
PR-2026-000198,2026-01-17,Plant-01,Line-A,MC-102,Night,PRD-B200,4140,4120,20,38,480,6
PR-2026-000199,2026-01-17,Plant-01,Line-B,MC-201,Day,PRD-C300,6530,6352,178,28,480,3.7
PR-2026-000200,2026-01-17,Plant-01,Line-B,MC-201,Evening,PRD-C300,7390,7278,112,15,480,3.47
PR-2026-000201,2026-01-17,Plant-01,Line-B,MC-201,Night,PRD-C300,6487,6263,224,34,480,3.58
PR-2026-000202,2026-01-17,Plant-01,Line-B,MC-202,Day,PRD-D400,3031,2915,116,44,480,7.73
PR-2026-000203,2026-01-17,Plant-01,Line-B,MC-202,Evening,PRD-D400,2709,2688,21,49,480,8.28
PR-2026-000204,2026-01-17,Plant-01,Line-B,MC-202,Night,PRD-D400,3079,3016,63,27,480,8.39
PR-2026-000205,2026-01-18,Plant-01,Line-A,MC-101,Day,PRD-A100,4856,4747,109,49,480,4.62
PR-2026-000206,2026-01-18,Plant-01,Line-A,MC-101,Evening,PRD-A100,4746,4611,135,63,480,4.67
PR-2026-000207,2026-01-18,Plant-01,Line-A,MC-101,Night,PRD-A100,5160,5084,76,31,480,4.69
PR-2026-000208,2026-01-18,Plant-01,Line-A,MC-102,Day,PRD-B200,3702,3685,17,18,480,6.35
PR-2026-000209,2026-01-18,Plant-01,Line-A,MC-102,Evening,PRD-B200,3771,3633,138,50,480,6.41
PR-2026-000210,2026-01-18,Plant-01,Line-A,MC-102,Night,PRD-B200,3645,3520,125,58,480,6.27
PR-2026-000211,2026-01-18,Plant-01,Line-B,MC-201,Day,PRD-C300,6793,6628,165,28,480,3.53
PR-2026-000212,2026-01-18,Plant-01,Line-B,MC-201,Evening,PRD-C300,6197,6096,101,64,480,3.66
PR-2026-000213,2026-01-18,Plant-01,Line-B,MC-201,Night,PRD-C300,7442,7232,210,10,480,3.41
PR-2026-000214,2026-01-18,Plant-01,Line-B,MC-202,Day,PRD-D400,3211,3189,22,7,480,8.26
PR-2026-000215,2026-01-18,Plant-01,Line-B,MC-202,Evening,PRD-D400,3010,2929,81,30,480,7.85
PR-2026-000216,2026-01-18,Plant-01,Line-B,MC-202,Night,PRD-D400,2978,2879,99,46,480,8.26
PR-2026-000217,2026-01-19,Plant-01,Line-A,MC-101,Day,PRD-A100,5294,5267,27,52,480,4.66
PR-2026-000218,2026-01-19,Plant-01,Line-A,MC-101,Evening,PRD-A100,4694,4656,38,28,480,4.95
PR-2026-000219,2026-01-19,Plant-01,Line-A,MC-101,Night,PRD-A100,5075,5053,22,4,480,4.76
PR-2026-000220,2026-01-19,Plant-01,Line-A,MC-102,Day,PRD-B200,3453,3431,22,64,480,6.34
PR-2026-000221,2026-01-19,Plant-01,Line-A,MC-102,Evening,PRD-B200,3935,3870,65,38,480,6.44
PR-2026-000222,2026-01-19,Plant-01,Line-A,MC-102,Night,PRD-B200,3852,3768,84,60,480,6.31
PR-2026-000223,2026-01-19,Plant-01,Line-B,MC-201,Day,PRD-C300,6541,6318,223,12,480,3.61
PR-2026-000224,2026-01-19,Plant-01,Line-B,MC-201,Evening,PRD-C300,6435,6216,219,58,480,3.55
PR-2026-000225,2026-01-19,Plant-01,Line-B,MC-201,Night,PRD-C300,6551,6408,143,46,480,3.4
PR-2026-000226,2026-01-19,Plant-01,Line-B,MC-202,Day,PRD-D400,3195,3156,39,20,480,8.36
PR-2026-000227,2026-01-19,Plant-01,Line-B,MC-202,Weekend,PRD-D400,3339,3313,26,16,480,7.84
PR-2026-000228,2026-01-19,Plant-01,Line-B,MC-202,Night,PRD-D400,3080,3017,63,11,480,8.17
PR-2026-000229,2026-01-20,Plant-01,Line-A,MC-101,Day,PRD-A100,5484,5446,38,7,480,4.85
PR-2026-000230,2026-01-20,Plant-01,Line-A,MC-101,Evening,PRD-A100,5394,5295,99,20,480,4.81
PR-2026-000231,2026-01-20,Plant-01,Line-A,MC-101,Night,PRD-A100,5066,5042,24,13,480,5.08
PR-2026-000232,2026-01-20,Plant-01,Line-A,MC-102,Day,PRD-B200,3924,3844,80,45,480,6.09
PR-2026-000233,2026-01-20,Plant-01,Line-A,MC-102,Evening,PRD-B200,4247,4104,143,15,480,5.97
PR-2026-000234,2026-01-20,Plant-01,Line-A,MC-102,Night,PRD-B200,3908,3891,17,14,480,6.51
PR-2026-000235,2026-01-20,Plant-01,Line-B,MC-201,Day,PRD-C300,6960,6775,185,53,480,3.46
PR-2026-000236,2026-01-20,Plant-01,Line-B,MC-201,Evening,PRD-C300,7031,6813,218,45,480,3.43
PR-2026-000237,2026-01-20,Plant-01,Line-B,MC-201,Night,PRD-C300,7282,7234,48,11,480,3.47
